0,1,Section,Number,Beer,Brewery,Style,Abv
-0.05573206266329711,0.11451860651537303,4,79.0,Billson's Flavored Sour Beer,Billson's Brewery,Specialty Beer,3.5
0.0005950491373452262,-0.04821390303596298,4,80.0,Golden Roots - Spiced Volcanic Sweet Potato Copper Ale,Earth Beer Company,Experimental Beer,5.0
0.3258611998346451,-0.0874598750353491,5,81.0,Smoked Kelp Stout,Morrison Brewery,Smoked Beer (non Rauchbier),10.0
0.025931810858677014,0.3094884975658245,5,82.0,The 'H' is Silent,Reckless Brewing Co,Mixed Fermentation Sour,4.5
-0.2668919998313837,-0.11748850795209843,5,83.0,West coast story,Prickly pete and the wolf brewing co,Australian IPA,6.0
0.11160829466295548,0.39472412064948825,5,84.0,Simz Spicy Vanilla Gorilla,Dollar Bill Brewing,Mixed Fermentation Sour,8.8
-0.14308528166676182,-0.07566558564685166,5,85.0,The Terpinator,Wolf of the Willows,IPA - American,6.2
0.004465009831157705,-0.0569528434078696,5,86.0,Tradies Breakfast - Vienna Coffee Lager meets Custard Tart,The Suburban Brew,Vienna Lager,5.0
0.19162829219447794,-0.04938529935326599,5,87.0,Abominable S'Mores Imperial Milk Stout,Bright Brewery,Imperial Stout,10.0
0.08478917789013159,0.213419581569469,5,88.0,Banana and Blueberry Imperial Maple Maccadamia Pancake Smoothie Sour,Seven Mile Brewing Co.,Pastry Sour,9.0
0.0253417472267297,0.01261923492491695,5,89.0,Apfelstrudle Pastry Hefe,Mismatch Brewing Co,Weizen/Weissbier/Hefeweizen,8.9
0.389624463122811,-0.11162738243090406,5,90.0,Rocky road campfire chocolate smoked stout,Blackman's,Pastry Stout,7.0
-0.004166827679829576,0.067408219449735,5,91.0,Sweet as Pie,Future Magic Brewing Co.,Specialty Beer,7.0
-0.008001777286046593,-0.027625474763994084,5,92.0,SAB Bitter,St Andrews Beach Brewery,ESB (Extra Special Bitter),5.5
-0.2521121194404435,-0.10805433963562412,5,93.0,Smooth Landing - Fruit Punch IPA,Mountain Culture,IPA - Hazy,7.5
-0.044494854092339955,-0.02539348890520793,5,94.0,Partical Fusion - worlds collide,Three Tails Brewing,Specialty Beer,5.8
0.0069214934137398956,0.34322517070449,5,95.0,Zombie Imperial Sour,Batch Brewing Company,Kettle Sour,8.0
-0.030168684525123855,-0.14036944001963803,5,96.0,Equinox '24,Heroes and Villains,Imperial IPA,9.2
0.15217008950269734,-0.08263434877479435,5,97.0,Holy Smokes! - Camel Dung Smoked Porter,Robe Town Brewery,Smoked Beer (non Rauchbier),6.3
-0.01743115679119561,0.019387722553109752,5,98.0,Salvaged Cherry Cola,Capital Brewing Co,Specialty Beer,6.0
0.013943418674778838,0.01713106463370134,5,99.0,Escape The Heat - Belgian Ale with Jalapeños,Escape Brewing,Belgian Specialty Ale,6.6
0.16423412381851676,-0.11714472588519098,5,100.0,Miso Macadamia Stout,4 Hearts brewing,Porter,6.0
-0.02834468231419483,0.03129924786718528,6,101.0,Strawberry Champagne Beer,Lady Burra Brewhouse,Specialty Beer,6.5
0.219714717848649,-0.1158583196545454,6,102.0,Try And Banh Mi,Brew Dog,Stout,10.0
-0.16678153061541745,-0.04753104587056105,6,103.0,Classic Pilsner Lager,Willie The Boatman,Classic Pilsner Lager,6.0
-0.08618016798514937,-0.057429364929130124,6,104.0,Cereal for Dinner,Modus,New England IPA,6.5
0.06819592620564528,-0.005952158310889911,6,105.0,Black Mamba - Imperial Black Saison,Impi Brewers,Saison/Farmhouse Ale,12.0
0.010727253872011556,0.35300374106015797,6,106.0,Grand Slam' Strawberries & Cream Imperial Sour,Local Brewing Co,Kettle Sour,7.4
-0.1454272876348702,-0.08911627092039875,6,107.0,Big Feelings,Garage Project,Hazy IPA,6.5
0.007590941750948476,-0.035033368490122035,6,108.0,The Notorious F.I.G.,Moffat Beach Brewing Co,UK Brown Ale,5.0
0.2521184319453547,-0.1522570990983754,6,109.0,Flat White Oatmeal stout,Warrandyte Brewing Co.,Oatmeal Stout,5.5
0.08659278280131374,-0.05455996500939079,6,110.0,Hellhound,On Point Brewery,Baltic Porter,8.2
0.2963836742302925,-0.1269806026334427,6,111.0,Lord Barista,10 Toes brewing,Imperial Stout,9.0
-0.1149820047749705,-0.11965692466431771,6,112.0,Bacon Me Crazy,Stoic Brewing,American IPA,7.0
-0.0258762405939221,-0.003849627259370192,6,113.0,Beer-ria taco lager,The Zythologist,Rauchbier,5.0
0.3163191311925249,-0.15986533719024612,6,114.0,A boy named Tiramisu,Co-Conspirators Brewing ,Pastry Stout,8.5
-0.015772118907709118,0.11129730500270865,6,115.0,Raspberry Sherbet Bomb,Moon Dog,Specialty Beer,6.5
-0.027368918057606235,-0.0026809529332770194,6,116.0,Ginger Monkey,Monkey Shoulder,Cocktail,6.0
-0.013895690405909772,-0.000739590106054261,6,117.0,Matso's Piña Colada,Matso's,Cocktail,6.0
-0.05023519990307659,-0.01636910783365499,6,118.0,Eddies Crisp Apple,Eddies Cider,Traditional Cider,4.5
-0.030806603536652127,0.008066979182171575,6,119.0,Cloudy Apple & Ginger,Spreyton Cider Co,Specialty Cider,4.5
