Number,0,1,Section,Number,Beer,Brewery,Style,Anticipation
65,4.388032,5.919872,4,65,Imperial White Choc & Macadamia Stout,Your Mates Brewing Co,Stout,9
66,-2.9143138,-1.2308464,4,66,Weekend At Willies,Willie The Boatman,Sour,7
67,-6.5250945,0.3301632,4,67,Life Can Be Sweet & Sour,Shark Island Brewing Co,Saison,9
68,1.8543179,-0.77935535,4,68,Fists of Fiori,Heroes and Villains,IPA,8
69,4.811886,4.2428737,4,69,Barrel-Aged Raspberry Imperial Stout,Jetty Road Brewery,Stout,10
70,-5.2140746,-2.8807762,4,70,Choc Cherry Bomb,Dainton Beer,Sour,9
71,-4.001767,-3.0861156,4,71,Dayummm,Warrandyte Brewing Co,Schwarzbier,4
72,1.497869,-2.5216973,4,72,Tropo-Thiol,Frenchies Brewery,IPA,7
73,-8.956358,4.078666,4,73,G and T Gose,Sydney Brewery,Sour,9
74,2.096962,-6.6445827,4,74,Balloon Animals,Mountain Culture Beer Co,IPA Milkshake,9
75,7.9532886,-6.384574,4,75,Garth's Fave Punch Bowl,Mountain Goat,Specialty,8
76,5.3102045,-4.625708,4,76,"Mind-bottling, isn't it?",Westside Ale Works,Stout,10
77,-9.163187,3.1639922,4,77,VoVo Whip,ATOMIC,Sour,7
78,-1.3727746,-2.9783134,4,78,Mountain Sunset,Katoomba Brewing Co,IPA Red,6
79,-3.1793659,-6.035098,4,79,Mango Stormy,Soapbox Beer,Lager Dark,7
80,5.0501776,-7.8204503,4,80,Barrel Aged Imperial Porter,Akasha Brewing Co,Porter,10
81,2.514535,-0.32660523,5,81,Brut IPA,Quakers Hat Brewing,IPA,5
82,7.3188534,7.1143427,5,82,Smokey Bacon Balls,Brewmanity Beer Co,Rauchbier,8
83,4.4322705,1.2149451,5,83,Almighty Asam,Beerfarm,Sour,9
84,4.950508,-7.3273335,5,84,Cherry Ripe Porter,Currumbin Valley Brewing,Porter,8
85,-0.43763638,-8.589403,5,85,Woolshed Brewery and Vili's Family Bakery Meat Pint,Woolshed Brewery,Specialty,9
86,1.5284287,-1.1205546,5,86,Pumpkin of Liberty IPA,TWOBAYS Brewing Co,IPA,9
87,5.516337,0.6756598,5,87,Aztec (Pale Chocolate Lager),Wandana Brewing Co,Lager,6
88,-9.494568,-1.8010709,5,88,Pizza beer,Frexi Brewing,Sour,10
89,0.6817762,-11.938509,5,89,Snowy's Kolsch,Snowys Brewery,Kolsch,4
90,4.2020326,2.0329015,5,90,Hypster Latte Stout,Jervis Bay Brewing Co,Stout,8
91,-4.17513,6.4815183,5,91,Fruits on Fire,Blasta Brewing Co,Sour,10
92,-4.301159,-7.37646,5,92,Hawke's Bob Hulk Double Hazy IPA,Hawkes Brewing Co,NEIPA,7
93,-7.86465,7.2176247,5,93,Feedback,Lost Palms Brewing Co,Sour,8
94,3.2412157,7.5950847,5,94,MSB Chocolate Bubble Imperial Stout,Malt Shovel Brewers,Stout,7
95,7.646183,3.835229,5,95,Barrel Aged Cerveza,Freshwater Brewing Co,Lager,9
96,1.8161877,-7.374503,5,96,Living the Cream,10 Toes Breing,IPA,9
97,5.279975,-6.487215,5,97,YO HO!,Newstead Brewing Co,Porter,7
98,8.255292,-10.261831,5,98,Gulls Just Wanna Have Fun (Fish & Chip Gose),Boatrocker Brewers & Distillers,Sour,9
99,2.6864836,4.196878,5,99,Soutini 2.0,Little Creatures,Stout,7
100,-1.4505768,2.4904292,5,100,Keeping It Simple,Bentspoke Brewery,IPA,5
101,2.31056,5.044262,6,101,AWW Duck Yeah!,Aunty Jacks,Stout,9
102,0.06135061,-1.5590463,6,102,THE WAY OF TEA,Garage Project,IPA Hazy,7
103,-0.044515815,0.4121787,6,103,No Place Like Aus,Sierra Navada,IPA,7
104,-4.765975,-9.203897,6,104,PROPER GABS,Cloudwater Brew Co,NEIPA,7
105,-9.129099,-1.835327,6,105,"Hail Mary, Hair of the Dog",Hudson Brewing,Saison,8
106,11.53015,-0.40993544,6,106,Fiery Azzurro Pils,Impi Brewers,Specialty,10
107,0.14040786,1.3620429,6,107,Invisible Oranges,Beerland,IPA Black,8
108,-3.677893,1.0388776,6,108,Frootie & The Blowfish,Rocky Ridge Brewing Co,Sour,8
109,-6.2106156,-0.44881925,6,109,Hold the Pork,Hiker Brewing Co,Specialty,10
110,8.395154,-8.973936,6,110,Raspberry Lemonade,One Drop Brewing Co,Specialty,8
111,2.31569,7.7200427,6,111,Lucky Charms Cereal Milk Stout,Rusty Penning Brewing,Stout,9
112,2.289988,-2.0059187,6,112,Ronin - Japanese Double IPA,Southern Highlands Brewing Co,IPA,7
113,7.3145447,-2.2838204,6,113,Spicy Wombat,Roots & Leaves,Ginger,6
114,-0.26338544,5.897998,6,114,Cherry Nice Graf,Funk Cider,Cider,6
115,8.379749,1.1792561,6,115,Pinapple Express,Hohly Water,Seltzer,3
116,7.823986,3.9439692,6,116,Barrel Aged Seltzerita,Felons Brewing Co,Seltzer,7
117,-0.6702372,5.4420056,6,117,Apple and Black Currant Cider,Cedar Creek Cider,Cider,4
118,-4.071793,4.4450655,6,118,Sour Pineapple Sour,Spreyton Cider Co,Cider,8
119,-1.2035356,5.265085,6,119,Eddies Organic Cider - Crisp Apple,Eddies Cider,Cider,1
120,-2.1266012,5.72277,6,120,Splicer,Flying Brick Cider Co,Cider,4
